Sales Order ID;Order Date;Ship Date ;Sales Order Number;Purchase Order Number;Account Number;Bill To Address ID;Sub Total  ;Tax Amt   ;Freight  ;Total Due;File Name
43659;7/1/2005;7/8/2005;SO43659           ;PO522145787          ;10-4020-000676;985;20565.6206;1971.5149;616.0984;23153.2339;File 01
43660;7/1/2005;7/8/2005;SO43660           ;PO18850127500        ;10-4020-000117;921;1294.2529;124.2483;38.8276;1457.3288;File 01
43661;7/1/2005;7/8/2005;SO43661           ;PO18473189620        ;10-4020-000442;517;32726.4786;3153.7696;985.553;36865.8012;File 01
43662;7/1/2005;7/8/2005;SO43662           ;PO18444174044        ;10-4020-000227;482;28832.5289;2775.1646;867.2389;32474.9324;File 01
43663;7/1/2005;7/8/2005;SO43663           ;PO18009186470        ;10-4020-000510;1073;419.4589;40.2681;12.5838;472.3108;File 01
43664;7/1/2005;7/8/2005;SO43664           ;PO16617121983        ;10-4020-000397;876;24432.6088;2344.9921;732.81;27510.4109;File 01
43665;7/1/2005;7/8/2005;SO43665           ;PO16588191572        ;10-4020-000146;849;14352.7713;1375.9427;429.9821;16158.6961;File 01
43666;7/1/2005;7/8/2005;SO43666           ;PO16008173883        ;10-4020-000511;1074;5056.4896;486.3747;151.9921;5694.8564;File 01
43667;7/1/2005;7/8/2005;SO43667           ;PO15428132599        ;10-4020-000646;629;6107.082;586.1203;183.1626;6876.3649;File 01
43668;7/1/2005;7/8/2005;SO43668           ;PO14732180295        ;10-4020-000514;529;35944.1562;3461.7654;1081.8017;40487.7233;File 01
43669;7/1/2005;7/8/2005;SO43669           ;PO14123169936        ;10-4020-000578;895;714.7043;70.5175;22.0367;807.2585;File 01
43670;7/1/2005;7/8/2005;SO43670           ;PO14384116310        ;10-4020-000504;810;6122.082;587.5603;183.6126;6893.2549;File 01
43671;7/1/2005;7/8/2005;SO43671           ;PO13978119376        ;10-4020-000200;855;8128.7876;780.8136;244.0042;9153.6054;File 01
43672;7/1/2005;7/8/2005;SO43672           ;PO13862153537        ;10-4020-000119;464;6124.182;587.6023;183.6257;6895.41;File 01
43673;7/1/2005;7/8/2005;SO43673           ;PO13775141242        ;10-4020-000618;821;3746.2015;357.9614;111.8629;4216.0258;File 01
43674;7/1/2005;7/8/2005;SO43674           ;PO12760141756        ;10-4020-000083;458;2624.382;251.9407;78.7315;2955.0542;File 01
43675;7/1/2005;7/8/2005;SO43675           ;PO12412186464        ;10-4020-000670;631;5716.3102;546.8759;170.8987;6434.0848;File 01
43676;7/1/2005;7/8/2005;SO43676           ;PO11861165059        ;10-4020-000017;755;14203.458;1363.266;426.0206;15992.7446;File 01
43677;7/1/2005;7/8/2005;SO43677           ;PO11049174786        ;10-4020-000679;556;7793.1108;747.1011;233.4691;8773.681;File 01
